ErrorName,MongoError,OrdinalPosition
Location5166401,5166401,403
Location5166402,5166402,404
Location5166403,5166403,405
Location5166404,5166404,406
Location5166405,5166405,407
Location5166406,5166406,408
Location5339900,5339900,417
Location5339901,5339901,418
Location5339902,5339902,419
Location5371601,5371601,454
Location5371602,5371602,455
Location5371603,5371603,456
Location5423900,5423900,481
Location5423901,5423901,482
Location5423902,5423902,483
Location5429413,5429413,420
Location5429414,5429414,421
Location5429513,5429513,422
Location5439007,5439007,423
Location5439008,5439008,424
Location5439009,5439009,425
Location5439010,5439010,426
Location5439012,5439012,427
Location5439013,5439013,428
Location5439014,5439014,429
Location5439015,5439015,430
Location5439016,5439016,431
Location5439017,5439017,432
Location5439018,5439018,433
Location5490710,5490710,484
Location5624900,5624900,485
Location5624901,5624901,486
Location5626500,5626500,434
Location5654600,5654600,435
Location5654601,5654601,436
Location5654602,5654602,437
Location5687301,5687301,438
Location5687302,5687302,439
Location5687400,5687400,440
Location5687401,5687401,441
Location5733201,5733201,467
Location5733401,5733401,468
Location5733402,5733402,469
Location5733403,5733403,470
Location5733406,5733406,471
Location5733408,5733408,472
Location5733409,5733409,473
Location5746102,5746102,442
Location5787801,5787801,443
Location5787900,5787900,444
Location5787901,5787901,445
Location5787902,5787902,446
Location5787903,5787903,447
Location5787906,5787906,448
Location5787907,5787907,449
Location5787908,5787908,450
Location5788001,5788001,462
Location5788002,5788002,463
Location5788003,5788003,464
Location5788004,5788004,465
Location5788005,5788005,466
Location5788200,5788200,451
Location5858203,5858203,452
Location5876900,5876900,474
Location5897900,5897900,475
Location5946802,5946802,476
Location5976500,5976500,453
Location6007200,6007200,477
Location6045000,6045000,70
Location6050106,6050106,459
Location6053600,6053600,478
Location6586400,6586400,479
Location8993000,8993000,480
