ErrorName,ErrorCode,MongoError,ErrorOrdinal
Location15972,M001Q,15972,63
Location15976,M001R,15976,64
Location15981,M001S,15981,65
Location16004,M001T,16004,66
Location16006,M001U,16006,67
Location16007,M001V,16007,68
ExpressionTakesExactlyNArgs,M001W,16020,69
Location6045000,M001X,6045000,70
Location16034,M001Y,16034,71
Location16035,M001Z,16035,72
Location16410,M0020,16410,73
Location16411,M0021,16411,74
Location16433,M0022,16433,75
DollarAddNumericOrDateTypes,M0023,16554,76
DollarModByZeroProhibited,M0024,16610,77
DollarModOnlyNumeric,M0025,16611,78
DollarAddOnlyOneDate,M0026,16612,79
Location16702,M0027,16702,80
Location16747,M0028,16747,81
Location16748,M0029,16748,82
Location16749,M002A,16749,83
Location16755,M002B,16755,84
Location16764,M002C,16764,85
HashedIndexDoNotSupportArrayValues,M002D,16766,86
Location16800,M002E,16800,87
Location16801,M002F,16801,88
Location16804,M002G,16804,89
Location16874,M002H,16874,90
Location16875,M002I,16875,91
Location16876,M002J,16876,92
Location16878,M002K,16878,93
Location16879,M002L,16879,94
Location16880,M002M,16880,95
Location16882,M002N,16882,96
Location16883,M002O,16883,97
Location16994,M002P,16994,98
Location17040,M002Q,17040,99
Location17041,M002R,17041,100
Location17042,M002S,17042,101
Location17043,M002T,17043,102
Location17044,M002U,17044,103
Location17045,M002V,17045,104
Location17046,M002W,17046,105
Location17047,M002X,17047,106
Location17048,M002Y,17048,107
Location17049,M002Z,17049,108
DollarCondMissingIfParameter,M0030,17080,109
DollarCondMissingThenParameter,M0031,17081,110
DollarCondMissingElseParameter,M0032,17082,111
DollarCondBadParameter,M0033,17083,112
DollarSizeRequiresArray,M0034,17124,113
ExactlyOneTextIndex,M0035,17194,114
Location17261,M0036,17261,115
Location17276,M0037,17276,116
Location17308,M0038,17308,117
Location17310,M0039,17310,118
DocumentAfterUpdateLargerThanMaxSize,M003A,17419,119
DocumentToUpsertLargerThanMaxSize,M003B,17420,120
Location18628,M003C,18628,121
Location18629,M003D,18629,122
Location18533,M003E,18533,123
Location18534,M003F,18534,124
Location18535,M003G,18535,125
Location18536,M003H,18536,126
Location18537,M003I,18537,127
Location28625,M003J,28625,128
Location28646,M003K,28646,129
Location28647,M003L,28647,130
Location28648,M003M,28648,131
Location28650,M003N,28650,132
Location28651,M003O,28651,133
Location28656,M003P,28656,134
Location28657,M003Q,28657,135
Location28664,M003R,28664,136
Location51044,M003S,51044,137
Location51045,M003T,51045,138
Location50989,M003U,50989,139
RangeArgumentExpressionArgsOutOfRange,M003V,28667,140
DollarAbsCantTakeLongMinValue,M003W,28680,141
ArrayOperatorElemAtFirstArgMustBeArray,M003X,28689,142
DollarArrayElemAtSecondArgArgMustBeNumeric,M003Y,28690,143
DollarArrayElemAtSecondArgArgMustBe32Bit,M003Z,28691,144
DollarSqrtGreaterOrEqualToZero,M0040,28714,145
DollarSliceInvalidInput,M0041,28724,146
DollarSliceInvalidTypeSecondArg,M0042,28725,147
DollarSliceInvalidValueSecondArg,M0043,28726,148
DollarSliceInvalidTypeThirdArg,M0044,28727,149
DollarSliceInvalidValueThirdArg,M0045,28728,150
DollarSliceInvalidSignThirdArg,M0046,28729,151
Location28745,M0047,28745,152
Location28746,M0048,28746,153
Location28747,M0049,28747,154
Location28748,M004A,28748,155
Location28749,M004B,28749,156
DollarLogArgumentMustBeNumeric,M004C,28756,157
DollarLogBaseMustBeNumeric,M004D,28757,158
DollarLogNumberMustBePositive,M004E,28758,159
DollarLogBaseMustBeGreaterThanOne,M004F,28759,160
DollarLog10MustBePositiveNumber,M004G,28761,161
DollarPowBaseMustBeNumeric,M004H,28762,162
DollarPowExponentMustBeNumeric,M004I,28763,163
DollarPowExponentInvalidForZeroBase,M004J,28764,164
Location28765,M004K,28765,165
DollarLnMustBePositiveNumber,M004L,28766,166
Location28769,M004M,28769,167
Location28803,M004N,28803,168
Location28808,M004O,28808,169
Location28809,M004P,28809,170
Location28810,M004Q,28810,171
Location28811,M004R,28811,172
Location28812,M004S,28812,173
Location28818,M004T,28818,174
Location28822,M004U,28822,175
KeyCannotContainNullByte,M004V,31032,176
Location31002,M004W,31002,177
Location31022,M004X,31022,178
Location31023,M004Y,31023,179
Location31024,M004Z,31024,180
Location31034,M0050,31034,181
Location31095,M0051,31095,182
Location31109,M0052,31109,183
Location31119,M0053,31119,184
Location31120,M0054,31120,185
Location31138,M0055,31138,186
Location31249,M0056,31249,187
Location31250,M0057,31250,188
Location31253,M0058,31253,189
Location31254,M0059,31254,190
Location31256,M005A,31256,191
Location31271,M005B,31271,192
Location31276,M005C,31276,193
Location31308,M005D,31308,194
Location31325,M005E,31325,195
Location31393,M005F,31393,196
Location31395,M005G,31395,197
Location34435,M005H,34435,198
Location31441,M005I,31441,199
Location34443,M005J,34443,200
Location34444,M005K,34444,201
Location34445,M005L,34445,202
Location34446,M005M,34446,203
Location34447,M005N,34447,204
Location34448,M005O,34448,205
Location34449,M005P,34449,206
Location34450,M005Q,34450,207
Location34451,M005R,34451,208
Location34452,M005S,34452,209
Location34453,M005T,34453,210
Location34454,M005U,34454,211
Location34455,M005V,34455,212
Location34460,M005W,34460,213
Location34461,M005X,34461,214
Location34462,M005Y,34462,215
Location34463,M005Z,34463,216
Location34464,M0060,34464,217
Location34465,M0061,34465,218
Location34466,M0062,34466,219
Location34467,M0063,34467,220
Location34468,M0064,34468,221
Location34471,M0065,34471,222
Location34473,M0066,34473,223
DollarSwitchRequiresObject,M0067,40060,224
DollarSwitchRequiresArrayForBranches,M0068,40061,225
DollarSwitchRequiresObjectForEachBranch,M0069,40062,226
DollarSwitchUnknownArgumentForBranch,M006A,40063,227
DollarSwitchRequiresCaseExpressionForBranch,M006B,40064,228
DollarSwitchRequiresThenExpressionForBranch,M006C,40065,229
DollarSwitchNoMatchingBranchAndNoDefault,M006D,40066,230
DollarSwitchBadArgument,M006E,40067,231
DollarSwitchRequiresAtLeastOneBranch,M006F,40068,232
Location40075,M006G,40075,233
Location40076,M006H,40076,234
Location40077,M006I,40077,235
Location40078,M006J,40078,236
Location40079,M006K,40079,237
Location40080,M006L,40080,238
DollarInRequiresArray,M006M,40081,239
Location40085,M006N,40085,240
Location40086,M006O,40086,241
Location40087,M006P,40087,242
Location40090,M006Q,40090,243
Location40091,M006R,40091,244
Location40092,M006S,40092,245
Location40093,M006T,40093,246
Location40094,M006U,40094,247
Location40096,M006V,40096,248
Location40097,M006W,40097,249
Location40100,M006X,40100,250
Location40101,M006Y,40101,251
Location40102,M006Z,40102,252
Location40103,M0070,40103,253
Location40104,M0071,40104,254
Location40105,M0072,40105,255
Location40147,M0073,40147,256
Location40156,M0074,40156,257
Location40158,M0075,40158,258
Location40160,M0076,40160,259
Location40169,M0077,40169,260
Location40177,M0078,40177,261
Location40185,M0079,40185,262
Location40191,M007A,40191,263
Location40192,M007B,40192,264
Location40193,M007C,40193,265
Location40194,M007D,40194,266
Location40195,M007E,40195,267
Location40196,M007F,40196,268
Location40197,M007G,40197,269
Location40198,M007H,40198,270
Location40199,M007I,40199,271
Location40200,M007J,40200,272
Location40201,M007K,40201,273
Location40202,M007L,40202,274
Location40218,M007M,40218,275
Location40228,M007N,40228,276
Location40234,M007O,40234,277
Location40238,M007P,40238,278
Location40272,M007Q,40272,279
Location40319,M007R,40319,280
Location40321,M007S,40321,281
Location40323,M007T,40323,282
UnrecognizedCommand,M007U,40324,283
Location40352,M007V,40352,284
DollarArrayToObjectRequiresArray,M007W,40386,285
DollarObjectToArrayRequiresObject,M007X,40390,286
DollarArrayToObjectAllMustBeObjects,M007Y,40391,287
DollarArrayToObjectIncorrectNumberOfKeys,M007Z,40392,288
DollarArrayToObjectRequiresObjectWithKAndV,M0080,40393,289
DollarArrayToObjectObjectKeyMustBeString,M0081,40394,290
DollarArrayToObjectArrayKeyMustBeString,M0082,40395,291
DollarArrayToObjectAllMustBeArrays,M0083,40396,292
DollarArrayToObjectIncorrectArrayLength,M0084,40397,293
DollarArrayToObjectBadInputTypeFormat,M0085,40398,294
DollarMergeObjectsInvalidType,M0086,40400,295
Location40414,M0087,40414,296
UnknownBsonField,M0088,40415,297
Location40485,M0089,40485,298
Location40489,M008A,40489,299
Location40515,M008B,40515,300
Location40516,M008C,40516,301
Location40517,M008D,40517,302
Location40518,M008E,40518,303
Location40519,M008F,40519,304
Location40520,M008G,40520,305
Location40521,M008H,40521,306
Location40522,M008I,40522,307
Location40523,M008J,40523,308
Location40524,M008K,40524,309
Location40525,M008L,40525,310
Location40533,M008M,40533,311
Location40535,M008N,40535,312
Location40536,M008O,40536,313
Location40539,M008P,40539,314
Location40540,M008Q,40540,315
Location40541,M008R,40541,316
Location40542,M008S,40542,317
Location40600,M008T,40600,318
Location40601,M008U,40601,319
Location40602,M008V,40602,320
Location40603,M008W,40603,321
Location40235,M008X,40235,322
Location40237,M008Y,40237,323
ChangeStreamBadResumeToken,M008Z,40647,324
Location40684,M0090,40684,325
Location50694,M0091,50694,326
Location50695,M0092,50695,327
Location50696,M0093,50696,328
Location50699,M0094,50699,329
Location50700,M0095,50700,330
Location50723,M0096,50723,331
Location50752,M0097,50752,332
Location50759,M0098,50759,333
Location51024,M0099,51024,334
Location51047,M009A,51047,335
Location51074,M009B,51074,336
Location51075,M009C,51075,337
DollarRoundOverflowInt64,M009D,51080,338
DollarRoundFirstArgMustBeNumeric,M009E,51081,339
DollarRoundPrecisionMustBeIntegral,M009F,51082,340
DollarRoundPrecisionOutOfRange,M009G,51083,341
Location51091,M009H,51091,342
Location51103,M009I,51103,343
Location51104,M009J,51104,344
Location51105,M009K,51105,345
Location51106,M009L,51106,346
Location51107,M009M,51107,347
Location51108,M009N,51108,348
Location51109,M009O,51109,349
Location51110,M009P,51110,350
Location51111,M009Q,51111,351
Location51132,M009R,51132,352
Location51134,M009S,51134,353
Location51151,M009T,51151,354
Location51156,M009U,51156,355
Location51178,M009V,51178,356
Location51183,M009W,51183,357
Location51185,M009X,51185,358
Location51186,M009Y,51186,359
Location51187,M009Z,51187,360
Location51191,M00A0,51191,361
Location51246,M00A1,51246,362
Location51276,M00A2,51276,363
Location51247,M00A3,51247,364
Location51743,M00A4,51743,365
Location51744,M00A5,51744,366
Location51745,M00A6,51745,367
Location51746,M00A7,51746,368
Location51747,M00A8,51747,369
Location51748,M00A9,51748,370
Location51749,M00AA,51749,371
Location51750,M00AB,51750,372
Location51751,M00AC,51751,373
Location327391,M00AD,327391,374
Location327392,M00AE,327392,375
DollarIfNullRequiresAtLeastTwoArgs,M00AF,1257300,376
DollarRandNonEmptyArgument,M00AG,3040501,377
IntermediateResultTooLarge,M00AH,4031700,378
DollarSetFieldRequiresObject,M00AI,4161100,379
DollarSetFieldUnknownArgument,M00AJ,4161101,380
Location2942500,M00AK,2942500,381
Location2942501,M00AL,2942501,382
Location2942502,M00AM,2942502,383
Location2942503,M00AN,2942503,384
Location2942504,M00AO,2942504,385
Location2942505,M00AP,2942505,386
Location2942506,M00AQ,2942506,387
Location3041701,M00AR,3041701,388
Location3041702,M00AS,3041702,389
Location3041703,M00AT,3041703,390
Location4161102,M00AU,4161102,391
Location4161103,M00AV,4161103,392
Location4161104,M00AW,4161104,393
Location4161105,M00AX,4161105,394
Location4161106,M00AY,4161106,395
Location4161107,M00AZ,4161107,396
Location4161108,M00B0,4161108,397
Location4161109,M00B1,4161109,398
Location4890500,M00B2,4890500,399
Location4940400,M00B3,4940400,400
Location4940401,M00B4,4940401,401
Location5166400,M00B5,5166400,402
Location5166401,M00B6,5166401,403
Location5166402,M00B7,5166402,404
Location5166403,M00B8,5166403,405
Location5166404,M00B9,5166404,406
Location5166405,M00BA,5166405,407
Location5166406,M00BB,5166406,408
Location5107200,M00BC,5107200,409
Location5107201,M00BD,5107201,410
Location5166301,M00BE,5166301,411
Location5166302,M00BF,5166302,412
Location5166303,M00BG,5166303,413
Location5166304,M00BH,5166304,414
Location5166305,M00BI,5166305,415
Location5166307,M00BJ,5166307,416
Location5339900,M00BK,5339900,417
Location5339901,M00BL,5339901,418
Location5339902,M00BM,5339902,419
Location5429413,M00BN,5429413,420
Location5429414,M00BO,5429414,421
Location5429513,M00BP,5429513,422
Location5439007,M00BQ,5439007,423
Location5439008,M00BR,5439008,424
Location5439009,M00BS,5439009,425
Location5439010,M00BT,5439010,426
Location5439012,M00BU,5439012,427
Location5439013,M00BV,5439013,428
Location5439014,M00BW,5439014,429
Location5439015,M00BX,5439015,430
Location5439016,M00BY,5439016,431
Location5439017,M00BZ,5439017,432
Location5439018,M00C0,5439018,433
Location5626500,M00C1,5626500,434
Location5654600,M00C2,5654600,435
Location5654601,M00C3,5654601,436
Location5654602,M00C4,5654602,437
Location5687301,M00C5,5687301,438
Location5687302,M00C6,5687302,439
Location5687400,M00C7,5687400,440
Location5687401,M00C8,5687401,441
Location5746102,M00C9,5746102,442
Location5787801,M00CA,5787801,443
Location5787900,M00CB,5787900,444
Location5787901,M00CC,5787901,445
Location5787902,M00CD,5787902,446
Location5787903,M00CE,5787903,447
Location5787906,M00CF,5787906,448
Location5787907,M00CG,5787907,449
Location5787908,M00CH,5787908,450
Location5788200,M00CI,5788200,451
Location5858203,M00CJ,5858203,452
Location5976500,M00CK,5976500,453
Location5371601,M00CL,5371601,454
Location5371602,M00CM,5371602,455
Location5371603,M00CN,5371603,456
DocumentFailedValidation,M00CO,121,457
Location605001,M00CP,605001,458
Location6050106,M00CQ,6050106,459
Location16990,M00CR,16990,460
Location13111,M00CS,13111,461
Location5788001,M00CT,5788001,462
Location5788002,M00CU,5788002,463
Location5788003,M00CV,5788003,464
Location5788004,M00CW,5788004,465
Location5788005,M00CX,5788005,466
